objid,ra,frame,snr,cdist,reason
1237678859545346491,359.955509504069,7773/4/310,1.6,1.28,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.6, centroid d=1.28px); galaxy fell outside the cutout"
1237663277927760118,359.96063448625,4145/5/110,1.7,0.46,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=0.46px); galaxy fell outside the cutout"
1237657191978959290,359.983856243293,2728/5/413,1.7,0.57,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=0.57px); galaxy fell outside the cutout"
1237657191978958853,359.966941605918,2728/5/413,1.7,0.86,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=0.86px); galaxy fell outside the cutout"
1237657191978959751,0.0474571919822893,2728/5/413,1.7,0.98,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=0.98px); galaxy fell outside the cutout"
1237657191978959200,359.969882744489,2728/5/413,1.7,0.68,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=0.68px); galaxy fell outside the cutout"
1237663234987393433,0.0479568573953202,4135/5/252,1.7,3.72,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=3.72px); galaxy fell outside the cutout"
1237657191978959038,359.992876910962,2728/5/413,1.7,3.23,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=3.23px); galaxy fell outside the cutout"
1237663306381394152,0.0151603977060404,4152/2/102,1.7,5.78,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.7, centroid d=5.78px); galaxy fell outside the cutout"
1237678905171902799,359.916702066658,7784/1/196,1.8,0.6,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=0.60px); galaxy fell outside the cutout"
1237678907319386221,359.905035878229,7784/5/196,1.8,0.86,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=0.86px); galaxy fell outside the cutout"
1237663784197357674,359.911445318011,4263/4/115,1.8,0.77,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=0.77px); galaxy fell outside the cutout"
1237672794495516889,359.998608009197,6361/3/18,1.8,6.6,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=6.60px); galaxy fell outside the cutout"
1237657191978959080,359.993940972526,2728/5/413,1.8,0.84,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=0.84px); galaxy fell outside the cutout"
1237652944249028783,359.865056233742,1739/5/302,1.8,0.45,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=0.45px); galaxy fell outside the cutout"
1237663234451374377,0.0528118169971776,4135/4/265,1.8,1.31,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.8, centroid d=1.31px); galaxy fell outside the cutout"
1237663308525863692,0.0690709460163816,4152/6/56,1.9,0.91,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=0.91px); galaxy fell outside the cutout"
1237657190905217193,0.0078748805648842,2728/3/413,1.9,0.17,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=0.17px); galaxy fell outside the cutout"
1237656496187441257,359.991156279439,2566/5/309,1.9,0.56,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=0.56px); galaxy fell outside the cutout"
1237652943175287034,359.87461883435,1739/3/302,1.9,1.04,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=1.04px); galaxy fell outside the cutout"
1237657192515829920,0.0532704503402783,2728/6/413,1.9,1.38,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=1.38px); galaxy fell outside the cutout"
1237663277927760100,0.0708568765572863,4145/5/110,1.9,0.98,"image-verified RA~0 mis-cut: no central source (g+r+i SNR=1.9, centroid d=0.98px); galaxy fell outside the cutout"
